src_ip,src_port,dst_ip,dst_port
192.168.0.158,38164,13.107.246.53,443
13.107.246.53,443,192.168.0.158,38164
192.168.0.158,40530,173.194.180.218,443
192.168.0.158,40530,173.194.180.218,443
173.194.180.218,443,192.168.0.158,40530
173.194.180.218,443,192.168.0.158,40530
173.194.180.218,443,192.168.0.158,40530
192.168.0.158,40530,173.194.180.218,443
192.168.0.158,40530,173.194.180.218,443
173.194.221.95,443,192.168.0.158,33305
192.168.0.158,33305,173.194.221.95,443
192.168.0.158,41602,173.194.180.218,443
192.168.0.158,41602,173.194.180.218,443
173.194.180.218,443,192.168.0.158,41602
173.194.180.218,443,192.168.0.158,41602
192.168.0.158,41602,173.194.180.218,443
192.168.0.158,40530,173.194.180.218,443
192.168.0.158,40530,173.194.180.218,443
192.168.0.158,48382,173.194.180.218,443
173.194.180.218,443,192.168.0.158,48382
192.168.0.158,48382,173.194.180.218,443
173.194.180.218,443,192.168.0.158,40530
173.194.180.218,443,192.168.0.158,40530
173.194.180.218,443,192.168.0.158,40530
192.168.0.158,40530,173.194.180.218,443
192.168.0.158,40530,173.194.180.218,443
192.168.0.158,48382,173.194.180.218,443
173.194.180.218,443,192.168.0.158,40530
192.168.0.158,40530,173.194.180.218,443
173.194.180.218,443,192.168.0.158,40530
192.168.0.158,40530,173.194.180.218,443
173.194.180.218,443,192.168.0.158,40530
192.168.0.158,40530,173.194.180.218,443
173.194.180.218,443,192.168.0.158,40530
192.168.0.158,40530,173.194.180.218,443
173.194.180.218,443,192.168.0.158,40530
192.168.0.158,40530,173.194.180.218,443
173.194.180.218,443,192.168.0.158,40530
192.168.0.158,40530,173.194.180.218,443
173.194.180.218,443,192.168.0.158,40530
192.168.0.158,40530,173.194.180.218,443
173.194.180.218,443,192.168.0.158,40530
192.168.0.158,40530,173.194.180.218,443
173.194.180.218,443,192.168.0.158,40530
192.168.0.158,40530,173.194.180.218,443
173.194.180.218,443,192.168.0.158,40530
192.168.0.158,40530,173.194.180.218,443
173.194.180.218,443,192.168.0.158,48382
173.194.180.218,443,192.168.0.158,48382
173.194.180.218,443,192.168.0.158,40530
192.168.0.158,40530,173.194.180.218,443
173.194.180.218,443,192.168.0.158,48382
192.168.0.158,48382,173.194.180.218,443
173.194.180.218,443,192.168.0.158,40530
192.168.0.158,40530,173.194.180.218,443
192.168.0.158,48382,173.194.180.218,443
173.194.180.218,443,192.168.0.158,40530
192.168.0.158,40530,173.194.180.218,443
173.194.180.218,443,192.168.0.158,40530
192.168.0.158,40530,173.194.180.218,443
192.168.0.158,40530,173.194.180.218,443
192.168.0.158,40530,173.194.180.218,443
173.194.180.218,443,192.168.0.158,40530
173.194.180.218,443,192.168.0.158,48382
173.194.180.218,443,192.168.0.158,40530
173.194.180.218,443,192.168.0.158,40530
173.194.180.218,443,192.168.0.158,40530
192.168.0.158,40530,173.194.180.218,443
192.168.0.158,40530,173.194.180.218,443
192.168.0.158,32834,5.61.23.11,443
192.168.0.158,40746,93.186.225.194,443
5.61.23.11,443,192.168.0.158,32834
192.168.0.158,32834,5.61.23.11,443
93.186.225.194,443,192.168.0.158,40746
192.168.0.158,40746,93.186.225.194,443
192.168.0.158,57844,95.163.59.228,443
95.163.59.228,443,192.168.0.158,57844
192.168.0.158,57844,95.163.59.228,443
192.168.0.158,48012,34.237.73.95,443
192.168.0.158,59414,94.100.180.59,443
34.237.73.95,443,192.168.0.158,48012
192.168.0.158,48012,34.237.73.95,443
