 1  # Часть A: квадратичные уравнения
 2  # compiler   mode          bound    omp    time
 3  -O0    BASELINE     var    NO    0.470883
 4  -O0    BASELINE     var    YES   0.116705
 5  -O0    BASELINE     const  NO    0.475072
 6  -O0    BASELINE     const  YES   0.119075
 7  -O0    CONST_ALL    var    NO    0.486534
 8  -O0    CONST_ALL    var    YES   0.126722
 9  -O0    CONST_ALL    const  NO    0.483323
10  -O0    CONST_ALL    const  YES   0.118675
11  -O0    VOLATILE_ALL var    NO    0.485202
12  -O0    VOLATILE_ALL var    YES   0.116368
13  -O0    VOLATILE_ALL const  NO    0.485364
14  -O0    VOLATILE_ALL const  YES   0.124180
15  -O0    RESTRICT_ALL var    NO    0.482740
16  -O0    RESTRICT_ALL var    YES   0.122718
17  -O0    RESTRICT_ALL const  NO    0.484462
18  -O0    RESTRICT_ALL const  YES   0.130085
19  -O1    BASELINE     var    NO    0.0522144
20  -O1    BASELINE     var    YES   0.0251048
21  -O1    BASELINE     const  NO    0.0717778
22  -O1    BASELINE     const  YES   0.0258026
23  -O1    CONST_ALL    var    NO    0.0658764
24  -O1    CONST_ALL    var    YES   0.0244069
25  -O1    CONST_ALL    const  NO    0.0714630
26  -O1    CONST_ALL    const  YES   0.0252078
27  -O1    VOLATILE_ALL var    NO    0.0868489
28  -O1    VOLATILE_ALL var    YES   0.0374718
29  -O1    VOLATILE_ALL const  NO    0.0823535
30  -O1    VOLATILE_ALL const  YES   0.0304658
31  -O1    RESTRICT_ALL var    NO    0.0735732
32  -O1    RESTRICT_ALL var    YES   0.0243824
33  -O1    RESTRICT_ALL const  NO    0.0698553
34  -O1    RESTRICT_ALL const  YES   0.0289920
35  -O2    BASELINE     var    NO    0.0484383
36  -O2    BASELINE     var    YES   0.0239759
37  -O2    BASELINE     const  NO    0.0624644
38  -O2    BASELINE     const  YES   0.0269251
39  -O2    CONST_ALL    var    NO    0.0573057
40  -O2    CONST_ALL    var    YES   0.0264781
41  -O2    CONST_ALL    const  NO    0.0577907
42  -O2    CONST_ALL    const  YES   0.0379626
43  -O2    VOLATILE_ALL var    NO    0.0867538
44  -O2    VOLATILE_ALL var    YES   0.0249516
45  -O2    VOLATILE_ALL const  NO    0.0829498
46  -O2    VOLATILE_ALL const  YES   0.0263242
47  -O2    RESTRICT_ALL var    NO    0.0601380
48  -O2    RESTRICT_ALL var    YES   0.0285015
49  -O2    RESTRICT_ALL const  NO    0.0671778
50  -O2    RESTRICT_ALL const  YES   0.0325798
51  -O3    BASELINE     var    NO    0.0507948
52  -O3    BASELINE     var    YES   0.0232018
53  -O3    BASELINE     const  NO    0.0551122
54  -O3    BASELINE     const  YES   0.0343237
55  -O3    CONST_ALL    var    NO    0.0596695
56  -O3    CONST_ALL    var    YES   0.0299710
57  -O3    CONST_ALL    const  NO    0.0647705
58  -O3    CONST_ALL    const  YES   0.0263798
59  -O3    VOLATILE_ALL var    NO    0.0840017
60  -O3    VOLATILE_ALL var    YES   0.0240499
61  -O3    VOLATILE_ALL const  NO    0.0834127
